N,P,K,temperature,humidity,ph,rainfall,label
23.7,142.2,200.5,20.81,89.3,6.14,101.66,apple
21.0,144.5,193.4,21.12,82.16,6.07,69.76,grapes
15.7,27.8,33.2,28.97,48.17,5.92,81.23,mango
27.0,16.8,37.3,28.74,88.38,6.49,201.77,coconut
28.8,71.3,15.9,26.53,63.88,6.01,52.07,lentil
20.8,51.5,19.4,29.54,75.92,7.22,63.51,mungbean
104.2,13.8,53.6,31.25,86.94,6.13,39.63,muskmelon
18.3,21.0,36.4,27.93,87.97,6.21,139.32,coconut
11.6,24.5,24.1,23.94,86.62,6.36,115.47,orange
90.4,23.3,47.3,31.5,92.17,6.76,28.02,muskmelon
21.7,11.4,12.6,22.12,90.94,7.33,120.12,orange
31.9,71.9,18.7,31.18,35.86,6.25,169.09,pigeonpeas
25.8,134.9,194.9,20.1,92.5,5.78,125.03,apple
21.9,56.5,81.7,23.28,21.78,7.58,80.69,chickpea
30.7,74.6,15.1,32.62,73.4,6.65,76.07,blackgram
105.2,25.4,34.5,26.04,59.04,6.52,190.52,coffee
27.8,66.0,23.5,21.25,18.44,6.38,82.42,kidneybeans
16.1,24.4,31.5,29.36,91.66,6.32,150.53,coconut
26.6,64.0,76.8,24.5,20.09,6.61,75.88,chickpea
23.3,45.1,23.3,32.15,55.3,5.25,46.38,mothbeans
18.6,57.7,19.7,28.66,59.01,4.81,52.18,mothbeans
19.9,129.8,193.9,18.43,82.05,6.72,70.23,grapes
37.2,71.9,79.3,22.27,18.33,7.3,64.26,chickpea
16.0,21.4,17.2,31.4,87.94,6.62,123.61,orange
29.8,56.4,16.4,18.48,69.39,5.58,65.09,lentil
49.1,69.8,16.9,31.67,69.35,6.9,74.69,blackgram
107.2,92.7,46.2,28.2,83.79,6.03,118.92,banana
26.3,14.0,29.7,28.7,87.16,6.83,138.54,coconut
12.7,20.9,22.2,28.79,91.07,6.85,125.83,orange
75.6,30.3,48.1,20.64,79.79,6.93,245.06,rice
15.4,43.4,16.8,25.69,89.35,6.9,58.22,mungbean
29.4,13.1,34.8,25.3,85.66,6.33,140.49,coconut
19.3,124.4,201.1,17.52,82.27,6.39,79.64,grapes
28.8,51.2,16.0,28.02,58.22,6.06,42.96,mothbeans
17.9,24.6,30.4,29.21,91.1,6.34,221.47,coconut
26.5,76.1,21.1,15.62,21.41,5.58,80.38,kidneybeans
19.2,17.1,32.1,27.72,93.21,6.18,190.36,coconut
16.9,41.4,18.6,30.74,41.56,4.92,60.23,mothbeans
109.0,72.5,51.0,25.73,75.79,6.19,114.17,banana
16.6,20.9,23.4,28.74,87.04,7.4,107.93,orange
100.1,20.3,51.3,30.49,55.67,6.3,45.6,watermelon
103.3,26.6,36.1,23.38,51.75,6.93,172.78,coffee
42.9,57.5,15.2,34.64,65.65,6.9,62.39,blackgram
107.7,20.9,54.3,27.33,90.03,6.01,25.1,muskmelon
100.9,24.4,35.1,20.11,66.74,6.29,159.33,coffee
93.2,12.9,54.7,26.07,87.69,6.59,34.15,muskmelon
24.9,127.8,194.8,21.36,91.8,5.58,127.87,apple
119.7,75.2,45.1,30.98,77.81,6.37,100.6,banana
73.9,45.4,22.4,22.07,59.49,6.43,67.04,maize
102.5,22.5,48.6,28.01,89.1,6.37,38.88,muskmelon
51.2,64.1,22.9,34.41,69.35,7.11,84.15,blackgram
26.3,122.2,202.9,23.25,85.33,5.62,101.47,apple
45.2,66.1,22.4,27.28,60.88,6.45,74.23,blackgram
15.5,40.1,18.4,29.11,55.38,6.32,52.75,mothbeans
102.3,15.5,48.9,29.57,69.07,6.54,55.37,watermelon
110.7,82.8,51.5,30.34,79.4,6.67,135.04,banana
104.0,19.4,46.9,27.76,65.8,6.53,47.91,watermelon
17.6,49.2,20.8,28.9,56.12,4.96,53.82,mothbeans
77.5,57.1,37.0,23.6,86.75,6.09,212.21,rice
17.7,24.4,34.6,30.93,90.4,6.12,227.72,coconut
29.1,18.9,37.8,35.63,52.73,5.75,92.87,mango
24.6,129.5,204.4,18.3,84.81,6.9,65.41,grapes
16.6,22.9,40.3,24.18,87.04,6.81,39.48,pomegranate
22.1,77.0,17.2,19.74,22.25,5.8,66.83,kidneybeans
23.8,136.9,202.1,21.59,81.99,6.51,76.06,grapes
83.9,47.5,44.8,27.16,88.23,6.25,188.63,jute
65.1,34.6,32.8,24.49,77.73,6.02,239.68,rice
108.2,52.1,22.6,28.72,74.38,6.9,82.12,cotton
21.2,45.6,22.9,26.37,87.3,6.97,50.47,mungbean
42.3,63.0,16.9,28.09,74.62,6.62,73.34,blackgram
19.4,78.3,19.0,15.61,22.32,5.61,77.26,kidneybeans
61.4,57.3,35.2,24.64,79.68,6.28,204.67,rice
25.7,137.2,194.8,17.52,84.78,6.92,69.15,grapes
28.5,137.2,204.8,23.07,94.42,5.78,123.14,apple
17.0,16.8,38.7,20.5,86.64,6.26,97.27,pomegranate
36.1,67.1,18.3,29.08,45.8,5.78,185.5,pigeonpeas
79.2,53.0,17.9,24.25,72.2,6.89,61.98,maize
94.0,61.0,22.1,25.53,68.95,6.75,90.93,maize
25.4,129.9,195.6,21.82,86.77,6.32,110.92,apple
16.6,75.6,17.9,24.21,30.77,5.95,150.26,pigeonpeas
19.5,15.4,35.8,29.28,86.79,6.06,176.78,coconut
29.5,79.8,22.6,24.19,54.76,6.08,122.89,pigeonpeas
36.2,54.4,54.4,29.57,87.31,6.34,107.54,papaya
60.6,64.1,49.4,23.98,85.11,6.43,85.14,papaya
32.2,55.8,76.3,24.25,15.53,7.06,76.44,chickpea
19.4,21.9,21.7,25.55,90.74,7.25,120.64,orange
87.6,31.2,46.0,24.4,76.23,6.81,242.09,rice
24.2,19.0,18.7,24.32,85.47,7.42,109.41,orange
21.3,76.0,23.8,20.19,68.26,5.79,43.06,lentil
19.1,15.5,31.3,35.95,54.83,6.46,66.47,mango
109.5,72.9,50.4,27.62,77.68,6.29,142.28,banana
115.5,75.3,51.7,28.26,83.33,5.66,97.79,banana
61.3,51.6,38.7,26.23,77.12,6.67,186.46,jute
23.2,121.0,194.7,20.76,84.75,6.86,64.57,grapes
61.2,54.2,59.7,28.21,86.5,6.47,114.69,papaya
20.4,127.5,193.2,20.15,85.43,6.63,120.35,apple
27.3,134.7,193.8,17.04,81.7,6.48,65.92,grapes
98.1,23.4,48.8,29.89,62.14,6.12,58.56,watermelon
118.1,42.9,24.4,28.8,82.66,6.27,91.58,cotton
17.9,70.3,17.8,16.45,21.62,5.51,60.38,kidneybeans
96.4,19.2,54.4,29.37,56.12,6.46,57.82,watermelon
19.7,71.8,24.8,19.43,30.29,6.15,109.26,pigeonpeas
24.1,70.8,19.2,19.3,61.4,5.53,66.21,lentil
92.8,19.2,46.7,28.7,90.9,6.3,25.53,muskmelon
99.8,72.4,54.8,26.72,79.24,6.34,91.48,banana
17.6,64.0,21.4,18.64,65.42,6.3,69.89,lentil
26.6,141.9,199.2,20.75,87.85,6.12,128.63,apple
20.8,63.5,20.4,16.08,21.88,6.04,98.1,kidneybeans
23.2,24.8,30.8,33.47,45.45,5.58,78.29,mango
67.4,61.1,22.8,24.94,71.9,6.87,91.31,maize
20.9,12.5,18.5,25.13,86.78,7.29,112.11,orange
25.6,22.4,28.9,35.85,50.77,5.83,70.76,mango
17.5,20.9,27.8,28.58,85.93,6.88,164.4,coconut
67.1,32.7,32.4,23.23,78.1,6.05,200.34,rice
23.9,23.5,11.3,23.32,89.96,6.16,110.37,orange
101.5,22.1,38.0,22.15,60.69,6.02,157.93,coffee
116.2,44.8,18.0,25.69,73.78,6.06,92.0,cotton
24.8,68.8,20.0,20.71,60.06,6.52,183.79,pigeonpeas
51.1,66.5,17.2,26.34,74.3,6.11,65.97,blackgram
109.0,22.5,54.0,30.7,89.59,6.25,30.55,muskmelon
26.0,50.3,19.9,25.93,78.92,6.63,54.98,mungbean
90.6,15.9,38.3,26.69,57.15,6.89,179.68,coffee
92.6,38.5,32.4,24.88,84.43,6.82,223.51,rice
102.4,13.5,45.0,30.3,94.85,6.81,31.9,muskmelon
36.9,64.1,59.9,32.33,87.96,6.24,63.94,papaya
62.1,64.7,56.4,27.19,89.54,6.59,147.13,papaya
22.7,42.2,15.1,28.47,79.28,7.1,40.6,mungbean
19.0,133.0,196.8,15.12,82.78,6.66,71.84,grapes
29.6,20.0,33.9,27.9,51.06,5.63,98.37,mango
24.3,53.0,16.1,25.25,89.91,6.35,41.35,mungbean
33.8,56.1,87.7,24.61,20.62,7.64,95.37,chickpea
83.4,50.2,21.1,18.16,72.44,7.1,88.26,maize
27.6,24.3,34.7,27.28,53.29,6.68,70.36,mango
17.2,16.2,44.7,19.4,87.15,5.94,47.96,pomegranate
25.9,20.1,30.0,26.19,90.81,6.23,202.88,coconut
21.0,26.2,33.7,30.88,46.71,5.84,83.02,mango
86.2,43.2,24.5,19.36,63.65,7.12,80.99,maize
25.1,16.1,37.9,26.27,90.44,6.93,192.54,coconut
28.5,54.8,21.8,30.8,63.65,5.09,40.03,mothbeans
92.1,77.0,48.2,30.67,77.83,6.1,130.28,banana
23.4,10.8,27.5,27.0,87.83,6.51,131.83,coconut
92.7,55.8,30.1,23.58,81.26,5.83,161.99,rice
23.6,63.4,24.8,29.99,54.54,6.59,156.21,pigeonpeas
92.3,20.9,35.0,22.7,57.67,6.12,162.25,coffee
36.4,78.9,76.4,17.46,17.1,6.52,69.88,chickpea
22.9,11.4,31.5,29.07,90.22,6.0,184.24,coconut
18.9,62.7,17.9,30.2,53.54,6.7,125.05,pigeonpeas
46.2,45.4,53.9,23.15,85.01,6.62,60.79,papaya
103.4,24.1,53.2,25.29,89.71,6.4,29.65,muskmelon
19.5,54.4,18.9,25.97,75.16,6.82,64.39,mungbean
89.9,49.5,47.0,24.6,83.52,5.64,186.77,rice
107.4,22.0,31.3,26.9,58.75,6.08,197.33,coffee
40.9,71.5,19.4,27.77,68.37,6.52,87.99,blackgram
14.8,12.0,34.4,22.01,89.42,6.02,90.98,pomegranate
15.6,129.7,196.1,20.67,85.23,5.67,119.64,apple
95.9,18.4,48.0,25.34,61.11,6.23,50.7,watermelon
29.5,76.6,85.4,20.83,14.28,6.68,75.21,chickpea
99.4,24.3,46.2,31.57,66.0,6.64,52.91,watermelon
101.8,70.0,46.2,28.21,81.75,6.04,133.84,banana
92.1,21.3,33.7,19.47,65.31,6.74,195.17,coffee
92.0,29.9,35.5,19.62,50.25,6.17,191.91,coffee
22.1,56.1,16.4,16.94,24.8,5.83,84.1,kidneybeans
29.2,45.0,22.8,26.66,64.76,4.55,55.09,mothbeans
90.3,24.0,53.1,30.7,56.4,6.74,59.2,watermelon
30.2,67.1,16.2,28.08,73.89,6.24,88.97,blackgram
109.9,80.9,53.2,30.43,76.2,6.19,107.07,banana
120.1,57.5,17.6,28.94,79.66,5.53,88.99,cotton
24.0,72.6,21.9,17.62,19.17,5.93,67.13,kidneybeans
93.2,36.1,21.0,20.07,57.41,5.91,94.81,maize
95.9,20.7,46.2,27.85,93.48,6.37,33.87,muskmelon
17.2,16.8,16.4,27.09,94.45,6.82,128.6,orange
12.5,14.3,41.9,24.34,94.75,5.85,101.1,pomegranate
78.7,53.4,16.7,26.92,59.63,7.12,92.48,maize
106.6,10.6,45.2,27.61,86.49,6.56,38.76,muskmelon
21.1,137.0,191.0,20.94,83.86,6.83,63.41,grapes
39.1,64.8,57.1,25.49,88.36,6.13,48.16,papaya
95.7,17.8,47.6,26.47,90.99,6.09,25.87,muskmelon
24.5,10.4,21.8,25.21,85.37,7.38,104.19,orange
91.7,22.2,52.2,30.11,86.0,6.72,35.2,muskmelon
94.8,53.7,37.2,23.36,84.31,6.39,188.3,jute
21.6,121.1,203.8,19.7,80.14,6.69,69.64,grapes
77.0,38.6,43.3,24.74,78.0,6.89,174.83,jute
61.7,46.6,39.2,26.9,77.1,6.98,159.04,jute
108.2,15.3,39.0,24.86,50.68,6.82,160.01,coffee
134.1,41.2,15.2,26.95,76.87,6.35,95.97,cotton
20.5,18.4,35.8,20.94,90.62,5.51,40.89,pomegranate
101.8,35.2,24.9,27.27,75.48,6.21,70.66,cotton
26.3,66.5,17.9,21.3,18.81,6.46,75.7,kidneybeans
18.2,18.2,10.8,25.99,87.71,7.5,109.25,orange
114.2,18.9,37.0,20.72,50.66,6.52,159.83,coffee
22.8,71.9,18.1,20.42,23.41,6.02,108.8,kidneybeans
19.6,123.3,193.0,20.88,80.32,6.86,79.23,grapes
22.8,135.1,204.4,20.89,82.36,6.57,78.56,grapes
30.8,62.8,85.1,20.52,15.16,7.28,68.64,chickpea
15.6,28.2,29.7,28.29,49.68,6.4,61.24,mango
18.8,10.1,41.4,22.99,88.66,5.58,91.62,pomegranate
60.9,67.5,50.0,34.9,86.03,6.05,134.12,papaya
24.8,78.5,23.7,20.36,23.52,6.16,73.01,kidneybeans
101.0,24.7,39.2,18.41,68.38,6.61,190.37,coffee
21.1,16.8,44.8,18.38,88.55,6.22,72.74,pomegranate
27.9,54.1,16.5,29.83,89.18,7.02,48.29,mungbean
32.6,49.9,54.8,33.26,87.53,6.33,99.08,papaya
27.3,75.1,20.5,18.64,19.0,6.28,73.57,kidneybeans
15.4,49.6,15.1,31.87,47.66,4.58,54.71,mothbeans
19.7,20.0,37.6,27.52,89.27,6.97,208.39,coconut
19.0,77.8,21.3,24.49,63.86,6.58,40.84,lentil
22.8,16.5,32.9,19.34,92.69,5.9,92.54,pomegranate
23.5,21.6,26.0,31.65,53.21,6.42,93.29,mango
17.4,72.1,20.9,24.79,64.64,6.17,52.16,lentil
38.7,70.5,20.4,26.26,64.35,6.36,66.41,blackgram
104.4,79.3,49.9,28.47,76.89,6.67,130.45,banana
101.0,13.5,52.4,28.26,67.14,6.78,44.3,watermelon
117.7,87.2,46.3,27.14,80.92,6.59,92.62,banana
106.2,13.3,52.2,31.55,62.92,6.54,49.22,watermelon
16.6,11.7,22.6,22.28,93.34,6.21,126.6,orange
60.8,38.1,23.0,19.61,68.05,6.13,64.97,maize
15.8,67.4,16.2,21.61,65.26,6.66,64.1,lentil
104.6,92.0,50.3,30.58,79.84,6.14,97.18,banana
29.7,67.1,23.6,19.12,20.63,5.79,70.16,kidneybeans
39.8,65.8,54.2,33.96,87.32,6.12,40.67,papaya
20.1,55.7,15.0,27.15,78.62,6.35,41.7,mungbean
27.2,22.4,33.5,27.14,87.18,5.99,192.85,coconut
106.8,35.2,17.4,23.88,76.33,6.88,95.17,cotton
12.2,17.6,36.9,24.31,94.3,6.08,71.88,pomegranate
37.8,58.7,51.8,33.53,86.0,6.26,122.7,papaya
73.4,58.1,16.1,18.68,69.56,6.49,94.42,maize
124.7,37.3,22.8,29.93,77.97,6.52,69.49,cotton
20.0,132.7,198.0,21.07,94.12,5.98,101.37,apple
26.6,128.5,192.1,23.58,81.54,6.66,71.33,grapes
105.7,20.0,25.0,21.08,55.57,6.39,156.59,coffee
96.9,18.8,32.0,26.98,52.99,6.83,164.57,coffee
104.7,12.1,54.7,30.57,58.07,6.19,42.51,watermelon
74.3,39.8,37.0,23.94,79.78,6.8,178.45,jute
35.1,55.0,15.4,34.77,63.64,6.99,85.17,blackgram
25.6,24.7,30.6,36.51,45.22,5.96,96.84,mango
114.3,57.4,15.7,29.84,79.24,5.78,87.16,cotton
90.9,36.0,30.1,25.71,85.6,6.59,227.13,rice
20.0,16.2,10.7,29.84,91.79,6.71,126.99,orange
19.6,132.9,195.7,20.64,80.57,7.0,68.51,grapes
53.5,63.6,24.9,29.85,62.69,7.34,73.81,blackgram
23.6,49.2,23.8,28.91,89.4,6.07,42.45,mungbean
91.5,17.5,51.9,30.34,63.75,6.91,58.84,watermelon
83.3,47.6,23.9,25.36,61.84,6.16,78.98,maize
23.1,58.2,18.8,18.89,69.34,6.17,63.34,lentil
24.0,77.3,19.4,19.25,22.42,6.09,95.13,kidneybeans
23.7,127.2,195.5,15.84,80.26,6.25,61.48,grapes
61.0,33.2,30.6,24.45,79.72,6.26,240.76,rice
18.3,14.1,11.0,22.5,86.16,6.11,122.82,orange
30.0,69.5,85.7,21.86,22.41,7.63,88.72,chickpea
18.3,120.9,196.1,17.89,84.04,6.8,69.14,grapes
93.1,21.9,52.9,26.66,87.89,6.94,37.39,muskmelon
22.5,129.4,199.4,23.17,87.81,6.22,121.26,apple
27.2,78.4,20.1,26.55,68.04,6.09,65.45,lentil
20.6,54.9,18.7,24.87,53.92,6.19,59.9,mothbeans
19.6,45.1,21.7,30.82,47.88,4.77,55.81,mothbeans
65.3,56.5,24.1,19.62,59.75,7.16,69.05,maize
28.7,77.5,75.4,22.31,24.6,7.12,97.47,chickpea
11.3,23.0,34.8,19.25,87.39,6.13,53.84,pomegranate
93.9,18.6,54.3,25.18,69.56,6.95,57.69,watermelon
16.3,22.6,18.9,23.92,90.81,6.76,111.96,orange
21.1,39.0,21.6,33.71,54.05,5.93,41.71,mothbeans
84.3,50.4,17.3,19.59,59.41,6.06,98.98,maize
28.6,72.7,16.7,28.93,50.43,6.93,104.24,pigeonpeas
23.6,12.9,39.2,20.84,85.41,6.02,54.89,pomegranate
31.4,77.2,20.8,26.85,35.48,6.21,171.64,pigeonpeas
19.9,125.2,197.4,15.2,83.36,6.52,77.97,grapes
17.7,38.9,23.3,24.42,50.48,4.84,61.98,mothbeans
26.2,66.8,15.6,21.7,24.6,6.29,109.57,kidneybeans
20.0,49.1,23.5,26.02,63.36,5.88,60.58,mothbeans
63.7,52.8,35.7,25.48,79.45,6.31,193.52,jute
22.3,128.8,203.4,20.66,86.5,6.25,119.72,apple
129.9,37.7,19.2,22.14,70.5,6.22,71.93,cotton
28.4,69.2,23.3,26.92,62.45,6.54,60.23,lentil
119.7,18.7,28.0,23.27,60.74,6.44,188.59,coffee
109.4,73.8,54.3,27.3,82.3,5.53,102.31,banana
16.3,125.6,192.8,19.28,83.29,6.26,60.24,grapes
28.1,39.2,15.5,30.02,82.13,7.27,49.58,mungbean
35.5,58.8,54.1,31.47,91.8,6.29,76.33,papaya
74.4,37.7,24.2,19.23,74.0,6.42,69.26,maize
96.7,20.4,28.5,23.79,65.96,6.79,168.23,coffee
94.3,19.5,52.6,31.89,57.71,6.77,46.78,watermelon
27.7,64.2,24.3,29.59,54.4,6.57,146.17,pigeonpeas
54.3,64.0,19.8,28.55,70.24,6.99,81.46,blackgram
16.2,46.9,21.3,30.8,86.75,6.42,63.52,mungbean
39.7,60.0,80.2,18.32,17.63,7.51,80.78,chickpea
19.0,66.9,22.2,21.46,52.42,6.5,116.27,pigeonpeas
62.4,38.3,46.1,25.24,77.77,5.81,187.05,rice
90.5,22.2,37.9,26.96,69.12,6.88,179.0,coffee
110.4,18.7,34.0,20.58,56.67,6.44,176.46,coffee
97.9,57.9,16.4,25.82,64.75,7.05,99.99,maize
23.2,13.0,24.2,25.42,89.4,7.06,117.63,orange
105.0,12.0,45.7,31.83,94.57,6.06,31.65,muskmelon
28.9,133.2,201.3,21.76,92.46,5.77,111.13,apple
63.3,56.5,53.9,26.21,91.46,6.99,45.4,papaya
53.0,55.3,20.5,32.41,67.28,6.13,89.17,blackgram
91.4,19.0,47.6,28.22,62.76,6.92,50.98,watermelon
39.0,59.0,84.2,17.07,16.71,7.45,99.67,chickpea
10.4,15.7,23.4,24.75,87.73,6.45,118.37,orange
17.6,24.8,37.0,18.41,87.62,6.15,46.77,pomegranate
41.1,67.3,53.2,27.96,85.73,6.71,117.31,papaya
19.7,132.9,198.8,23.16,91.56,6.29,112.35,apple
29.5,57.2,21.9,18.46,20.71,6.13,95.19,kidneybeans
15.9,70.1,21.9,15.8,20.69,5.96,78.45,kidneybeans
103.8,18.0,48.8,26.72,64.31,6.89,49.92,watermelon
69.7,36.0,44.9,24.7,76.24,6.91,179.25,jute
29.2,20.0,33.4,27.95,47.0,6.12,68.25,mango
20.0,15.1,44.0,24.39,87.09,5.56,90.6,pomegranate
46.9,56.6,21.0,32.4,63.16,7.26,60.91,blackgram
110.0,41.3,21.3,28.1,83.15,6.78,98.6,cotton
18.3,55.9,16.1,17.37,23.62,6.07,85.63,kidneybeans
22.8,23.8,34.6,26.21,91.83,6.14,189.15,coconut
72.4,39.8,44.6,24.46,88.31,6.21,161.96,rice
17.9,75.7,20.6,24.86,70.7,5.81,57.06,lentil
98.8,57.5,16.3,24.82,55.49,5.83,76.18,maize
25.1,58.0,87.3,23.2,21.08,7.06,61.68,chickpea
106.3,16.8,48.3,28.3,93.19,6.12,37.86,muskmelon
12.2,19.5,24.2,31.97,88.75,6.9,125.69,orange
15.5,17.9,42.1,20.53,90.24,6.51,55.21,pomegranate
36.5,59.6,78.5,17.79,21.26,7.53,70.6,chickpea
18.3,59.1,19.1,26.34,70.66,6.13,55.52,lentil
88.8,43.9,20.7,22.28,68.27,7.11,96.63,maize
27.8,71.7,20.9,21.25,19.3,5.58,71.98,kidneybeans
26.0,10.1,33.1,30.56,87.66,6.4,196.89,coconut
108.3,11.9,49.2,27.41,89.98,6.46,32.78,muskmelon
104.3,22.0,48.5,25.38,55.04,6.45,47.05,watermelon
22.7,42.7,20.7,27.25,40.98,5.04,40.16,mothbeans
68.6,35.9,17.6,23.36,56.03,6.49,89.84,maize
67.3,62.3,20.8,21.61,64.24,7.13,67.67,maize
16.2,46.1,17.6,27.43,60.86,6.37,44.64,mothbeans
35.6,66.3,86.7,18.34,22.11,7.73,68.67,chickpea
53.1,67.6,18.3,32.37,60.55,6.71,70.09,blackgram
63.9,36.0,42.5,25.13,89.91,6.1,192.78,jute
35.5,61.8,53.9,26.53,85.14,6.08,83.09,papaya
24.0,73.6,20.1,19.44,18.5,5.75,78.09,kidneybeans
104.0,11.2,49.2,28.92,86.87,6.45,34.02,muskmelon
22.8,17.4,13.3,23.7,85.0,7.08,103.33,orange
50.4,69.9,18.9,29.73,72.82,6.51,86.09,blackgram
17.6,71.2,17.5,24.46,71.65,6.51,58.43,lentil
83.1,48.2,22.3,22.38,72.47,7.06,81.09,maize
20.9,52.4,16.9,30.42,46.5,6.27,62.39,mothbeans
17.3,18.1,42.3,19.2,93.08,6.54,76.69,pomegranate
22.0,41.7,16.0,25.67,43.68,6.45,58.98,mothbeans
94.4,20.6,52.8,27.64,65.47,6.39,43.2,watermelon
105.6,18.0,50.9,25.6,59.31,6.16,44.99,watermelon
21.1,48.0,24.0,26.37,75.34,7.29,54.43,mungbean
65.6,38.8,37.3,23.19,86.78,5.8,201.42,rice
90.2,18.8,50.0,31.11,85.84,6.68,35.2,muskmelon
32.2,61.3,15.1,28.13,48.75,6.75,182.14,pigeonpeas
92.3,39.1,32.0,24.79,81.6,5.68,199.52,rice
105.3,19.0,39.0,22.58,52.55,6.43,156.35,coffee
18.3,44.5,23.1,32.24,49.62,5.42,47.58,mothbeans
26.9,57.0,76.7,24.15,16.11,6.65,69.07,chickpea
92.3,73.4,51.4,27.04,82.08,6.22,105.36,banana
15.5,51.5,20.3,25.03,44.31,5.64,47.41,mothbeans
29.2,56.7,75.5,18.08,24.59,7.1,98.63,chickpea
28.0,65.8,24.7,22.07,62.14,6.08,68.55,lentil
110.0,21.3,53.6,29.21,67.84,6.11,46.95,watermelon
19.3,24.4,26.8,33.55,47.83,5.5,65.08,mango
73.9,45.0,38.6,27.13,79.04,6.52,199.12,jute
52.0,51.8,48.7,24.64,93.49,6.62,60.52,papaya
22.0,61.1,24.1,21.02,74.28,6.3,58.95,lentil
38.3,64.1,59.2,31.6,93.81,6.64,82.64,papaya
91.9,24.8,54.5,24.63,69.0,6.36,56.89,watermelon
34.0,70.1,88.5,23.44,16.97,7.65,79.93,chickpea
22.5,51.1,20.1,25.84,79.68,7.2,61.54,mungbean
93.3,15.2,52.4,30.3,91.67,6.23,33.82,muskmelon
23.2,64.5,24.8,15.78,20.96,5.54,97.0,kidneybeans
21.2,36.0,17.7,31.69,89.3,6.53,41.08,mungbean
57.3,53.7,48.2,27.49,87.72,6.09,131.32,papaya
38.7,67.4,18.8,20.28,57.52,6.6,138.44,pigeonpeas
29.4,49.1,20.1,24.85,53.72,5.26,55.18,mothbeans
112.7,24.6,38.9,25.83,53.62,6.8,182.09,coffee
23.1,50.1,17.2,29.38,83.57,6.28,41.49,mungbean
94.5,17.8,50.6,31.56,57.93,6.64,56.35,watermelon
24.1,135.1,202.4,19.25,81.38,6.27,70.72,grapes
37.9,72.3,94.8,18.03,15.15,7.45,83.14,chickpea
99.1,21.0,48.7,24.15,56.51,6.5,53.8,watermelon
29.9,19.3,27.2,29.41,54.36,6.28,74.59,mango
16.0,12.5,15.7,30.72,88.63,7.43,128.39,orange
22.8,18.3,20.8,30.97,94.02,6.49,128.57,orange
89.8,47.5,49.2,22.62,79.29,6.8,172.36,rice
61.6,47.7,43.6,20.12,82.68,5.84,214.52,rice
21.7,131.0,191.4,22.19,81.07,6.2,68.26,grapes
70.0,49.7,17.2,26.89,73.88,5.86,95.28,maize
19.7,52.3,17.7,25.91,44.62,5.18,50.75,mothbeans
17.5,72.8,16.8,20.12,67.42,6.87,46.35,lentil
116.1,36.7,20.2,24.77,80.08,6.93,79.42,cotton
79.0,50.0,33.4,21.35,75.61,5.75,177.86,rice
15.8,143.7,199.6,23.51,91.76,5.96,115.38,apple
13.8,14.7,11.8,30.65,89.93,6.86,117.08,orange
27.9,135.4,190.2,21.95,82.09,6.57,72.98,grapes
16.0,71.7,18.2,30.57,61.08,5.99,190.1,pigeonpeas
23.1,18.9,33.2,25.69,88.19,5.58,169.57,coconut
106.0,17.0,39.0,26.95,53.8,6.34,180.67,coffee
22.0,12.0,11.7,31.22,92.51,6.88,123.08,orange
18.4,20.7,20.9,28.67,93.71,7.31,117.37,orange
26.1,75.9,22.4,16.0,23.27,6.27,92.93,kidneybeans
129.8,56.4,18.1,25.14,75.35,6.75,61.77,cotton
91.8,19.1,47.9,25.28,63.17,6.53,41.52,watermelon
113.4,89.3,47.3,30.53,80.93,5.99,120.12,banana
103.7,74.3,47.7,28.05,76.47,6.3,123.94,banana
101.4,23.6,52.8,29.36,88.15,6.54,26.37,muskmelon
13.4,10.4,15.8,23.42,92.1,6.99,101.32,orange
16.4,128.3,195.6,17.14,82.93,6.44,60.68,grapes
17.5,55.9,20.5,26.32,85.81,6.77,55.11,mungbean
21.1,56.7,18.5,15.78,23.66,6.45,63.62,kidneybeans
18.2,121.5,194.9,16.44,83.55,6.53,62.88,grapes
65.2,58.6,42.1,21.6,85.08,6.43,185.82,rice
69.7,32.8,47.9,26.3,84.5,6.01,184.92,rice
39.2,47.5,59.7,26.55,93.71,6.0,42.31,papaya
19.2,39.3,18.8,32.01,49.8,6.0,43.14,mothbeans
43.0,70.4,17.4,29.83,66.44,6.11,63.18,blackgram
92.1,38.5,33.5,25.25,87.1,6.99,191.26,rice
17.0,39.0,24.5,31.16,88.61,7.49,45.21,mungbean
24.8,58.8,19.4,19.31,18.58,6.38,100.18,kidneybeans
36.5,56.3,22.3,26.21,64.54,6.8,76.93,blackgram
17.5,39.6,17.0,27.71,75.77,6.6,52.79,mungbean
67.4,59.1,45.5,26.58,88.42,6.4,242.19,rice
28.7,75.5,22.6,18.44,72.66,6.16,50.27,lentil
104.7,82.8,47.7,27.73,79.71,6.42,146.44,banana
24.2,76.8,22.2,15.84,24.32,5.57,86.7,kidneybeans
69.9,40.7,45.2,20.1,76.74,5.57,154.07,rice
56.9,54.7,52.3,34.88,87.14,6.42,72.1,papaya
89.9,50.1,17.3,26.1,62.68,6.56,105.32,maize
27.5,66.0,18.0,16.82,19.36,5.56,77.12,kidneybeans
103.9,85.8,49.5,26.13,80.08,6.19,138.64,banana
25.2,78.3,77.3,23.54,18.19,7.76,94.72,chickpea
29.3,60.7,76.5,21.83,21.35,7.24,78.54,chickpea
25.4,15.6,37.6,31.48,51.37,5.83,87.08,mango
91.8,20.4,46.7,30.5,87.5,6.42,30.26,muskmelon
